Img TS,Enc TS,Encoder counts 1,Encoder counts 0,yaws,pitches
1746051748.1372569,1746051748.140566,-351,-10,-8.007408947732857,-7.439214307056005
1746051748.337504,1746051748.3410509,-351,19,-7.304397594418697,-7.420283239132132
1746051748.535954,1746051748.5409577,-344,61,-6.686823079869982,-7.378754730204619
1746051748.733837,1746051748.7373364,-341,92,-4.71011556392861,-6.766529045991845
1746051748.9364898,1746051748.939743,-329,118,-6.249965962320526,-6.638440144007504
1746051749.1347315,1746051749.1379063,-314,154,-5.739600363938942,-5.971299858348232
1746051749.3361535,1746051749.339483,-298,184,-5.098836666698705,-5.578636202294291
1746051749.533828,1746051749.53717,-278,211,-3.5347970109217606,-5.295355155235271
1746051749.734002,1746051749.7371974,-254,242,-4.693459283392087,-5.0170608743612775
1746051749.936103,1746051749.939326,-232,262,-4.353905782095383,-4.481184428090472
1746051750.1344235,1746051750.137654,-203,289,-4.535365294467449,-4.4651270524029485
1746051750.3354952,1746051750.338747,-175,302,-4.0012568507636805,-3.984466336730037
1746051750.534776,1746051750.5380795,-144,319,-3.6723906178847727,-3.0767645893382536
1746051750.7371,1746051750.740654,-112,332,-4.090500690446314,-3.008951441324726
1746051750.9360816,1746051750.941015,-77,343,-3.4178645117406914,-2.734537257794514
1746051751.1370654,1746051751.1410084,-44,347,-3.2588242529762574,-2.4103603828608158
1746051751.3337536,1746051751.3373618,-9,350,-2.755581671117042,-1.6813233375569894
1746051751.5352638,1746051751.5387778,27,351,-2.78264268514362,-1.9010868487546162
1746051751.7336462,1746051751.7385657,62,341,-2.4455102750965576,-1.815908875447235
1746051751.933039,1746051751.9366343,97,335,-2.396991968594108,-1.6795739030229413
1746051752.13715,1746051752.140242,130,326,-1.2048248914302402,-1.751147071593408
1746051752.3333533,1746051752.3365805,162,316,-1.4046253253076468,-1.1093431317257085
1746051752.5352058,1746051752.5393596,192,293,-2.2915481436619345,-1.1204849318976926
1746051752.734446,1746051752.7377975,220,263,-2.5734625275593777,-0.6360542873887738
1746051752.934383,1746051752.937399,247,251,-2.832195092856268,-0.32588529760434426
1746051753.1358645,1746051753.1386435,270,229,-3.7335977164428273,0.3759967888970266
1746051753.334819,1746051753.3382978,291,194,-4.51251105130419,0.923795784162877
1746051753.5337682,1746051753.5374205,310,167,-5.399444969254653,0.6403095597538879
1746051753.7336369,1746051753.7372885,324,132,-6.129437967527597,0.9746064594595083
1746051753.93327,1746051753.936441,335,105,-6.8845700392493345,1.363268217468672
1746051754.13537,1746051754.1385546,343,68,-7.829871861772047,1.70682786845407
1746051754.3338623,1746051754.3372848,349,40,-8.21489837890881,1.6272767157419423
1746051754.533243,1746051754.53636,349,7,-8.874319532850013,2.0707115766213917
1746051754.7338622,1746051754.7371793,349,-35,-9.522160140827092,1.7748419347536526
1746051754.9339468,1746051754.9371552,343,-70,-10.032484402230633,1.646637863383873
1746051755.1356952,1746051755.1387982,334,-98,-10.36905765231004,1.2425288882542702
1746051755.3339744,1746051755.3378592,321,-142,-10.736246124438217,0.8682581629778525
1746051755.5370991,1746051755.5403478,306,-170,-9.884907298726503,0.14829652362577406
1746051755.735708,1746051755.7394984,287,-200,-11.226416715395452,-0.47105411183395063
1746051755.9345424,1746051755.9376297,266,-231,-11.533523543078644,-1.4580628468379757
1746051756.1341856,1746051756.1371956,243,-250,-12.392977678737303,-1.8758056505195526
1746051756.3343403,1746051756.3375072,216,-278,-12.449320792066452,-2.210922220846726
1746051756.5333264,1746051756.536876,183,-296,-12.420034015741997,-3.998638212628677
1746051756.7388716,1746051756.7426674,156,-313,-12.813274833265694,-4.6910155124282795
1746051756.9359298,1746051756.9390388,125,-331,-13.870158001206978,-5.598561678368441
1746051757.1363063,1746051757.1397414,91,-333,-13.941788596750538,-5.884179395031623
1746051757.3300536,1746051757.333739,57,-348,-13.856293997450557,-6.08074191102456
1746051757.5334885,1746051757.537143,21,-350,-12.365080675855527,-6.752700934979501
1746051757.7334468,1746051757.7366636,-14,-350,-14.658702904731143,-6.89523134286469
1746051757.932417,1746051757.9358628,-49,-351,-14.277134568864597,-7.233305978852172
1746051758.133999,1746051758.137334,-82,-338,-14.031605802911717,-7.350827199245245
1746051758.3319192,1746051758.3354225,-115,-330,-14.164954592264095,-7.3909037296774045
1746051758.5322113,1746051758.5353231,-149,-318,-15.36414513860553,-7.669901475819444
1746051758.7353828,1746051758.7385063,-179,-301,-15.35902492769414,-7.7534563938582295
1746051758.9386506,1746051758.942416,-211,-280,-14.840666549271322,-7.834006913584346
1746051759.1383622,1746051759.141966,-234,-260,-14.252597196738847,-7.3794609642123845
1746051759.3350785,1746051759.338446,-260,-234,-13.524348194149347,-8.013403773208438
1746051759.534638,1746051759.5381083,-281,-205,-12.779555060028713,-8.069197497837365
1746051759.731934,1746051759.7359388,-302,-178,-13.227880669390977,-7.869469332611729
1746051759.934162,1746051759.937647,-318,-149,-12.069518984281007,-7.662655366042046
1746051760.1365364,1746051760.1407752,-331,-106,-10.934368624638449,-7.4601610012511514
1746051760.335673,1746051760.3387957,-341,-80,-9.934377721308445,-6.780242220303549
1746051760.535957,1746051760.5395582,-347,-45,-8.892980183786332,-7.36753353214263
1746051760.7347908,1746051760.7382147,-351,-12,-7.948777576924051,-7.4368102163556244
1746051760.936674,1746051760.9404082,-350,22,-7.17922231080852,-7.369759030515837
1746051761.134205,1746051761.1374755,-345,51,-7.474207722316288,-6.672104518169704
1746051761.3360908,1746051761.339895,-338,86,-5.627945571016543,-6.776034734668485
1746051761.5375586,1746051761.5412252,-328,122,-5.172767878012461,-6.417531942127809
1746051761.7379322,1746051761.7414403,-313,157,-5.721310777032644,-6.004703180364402
1746051761.9343958,1746051761.9373915,-295,189,-5.457781334714763,-5.826286959307808
1746051762.1352837,1746051762.1388698,-277,215,-3.524545632058471,-5.398521415126524
